regime,name,size,volatility,volatility_ratio,volatility_type,returns,autocorrelation,price_behavior,spread,spread_ratio,depth,depth_ratio,liquidity_score,liquidity,volume,volume_ratio,volume_type,direction,direction_type,imbalance,imbalance_type,avg_volatility,avg_spread,avg_depth,avg_volume,avg_volume_imbalance,avg_volatility_10,avg_volatility_30,avg_volatility_60
0,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.11,0.052923280308889625,2.010694766045871,High,0.000986210850400616,-0.045602652711528024,Random,0.03877132303373429,1.3223331784204504,1552.1474683236495,0.480021321836512,0.3630108732580587,Low,222.9440816480674,1.51921310262529,High,0.0009573710759931682,Sideways,0.2015913434539792,Buy Heavy,0.0021100075815249065,0.03877132303373429,595.3737575443995,222.9440816480674,0.2015913434539792,0.02122717849449093,0.06253364860362817,0.1258222865559145
1,Random & Low Volatility & High Liquidity & Low Volume,0.549,0.010106026549998039,0.3839545578241199,Low,-1.5207431102992223e-05,0.006915828982770961,Random,0.024093289587541665,0.8217247621696586,4141.028604137167,1.2806657001912158,1.5585093198479045,High,104.46332869585626,0.7118469193056195,Low,-2.69139046286618e-05,Sideways,-0.015232279783342604,Balanced,0.00040036854875859717,0.024093289587541665,1603.0580449806002,104.46332869585626,-0.015232279783342604,0.004019290184229103,0.012006271576530132,0.023998175890474323
2,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.111,0.05046265579893976,1.9172091620832359,High,0.0010765884586714763,-0.025470225878131678,Random,0.03913706787082435,1.3348072570712968,1571.855134631558,0.4861161679928842,0.3641845408148834,Low,227.4061695674614,1.5496192133508948,High,0.0011078415580801568,Upward,0.330515941025719,Buy Heavy,0.0020048306314557037,0.03913706787082435,605.3187296105358,227.4061695674614,0.330515941025719,0.019867931494364777,0.060093479667778,0.11988438140216054
3,Random & High Volatility & Low Liquidity & High Volume & Sell Heavy,0.129,0.06259371021067137,2.3780998602773398,High,-0.0009414472648210653,0.12983228072827466,Random,0.03912195605903236,1.3342918542282933,1545.2451460042662,0.47788669097758313,0.3581575421173321,Low,224.59037765517579,1.5304314962525625,High,-0.0008661627068113208,Sideways,-0.3498054216647656,Sell Heavy,0.0024959581806928794,0.03912195605903236,598.2185499529533,224.59037765517579,-0.3498054216647656,0.02489604825170448,0.07490696443415691,0.14807586997613117
4,Random & Low Volatility & High Liquidity & Low Volume,0.101,0.012625539022066352,0.47967747051976606,Low,0.00016523502905731893,-0.02786179526097028,Random,0.024132480274026966,0.823061398141031,4114.093628864966,1.2723357169276026,1.5458575992037826,High,105.55692709468516,0.7192990526129013,Low,0.00017413311684846657,Sideways,0.005174490910493742,Balanced,0.0004962037184608879,0.024132480274026966,1585.689957487258,105.55692709468516,0.005174490910493742,0.004912876673996388,0.015377643000931055,0.029715432694877076
