regime,name,size,volatility,volatility_ratio,volatility_type,returns,autocorrelation,price_behavior,spread,spread_ratio,depth,depth_ratio,liquidity_score,liquidity,volume,volume_ratio,volume_type,direction,direction_type,imbalance,imbalance_type,avg_volatility,avg_spread,avg_depth,avg_volume,avg_volume_imbalance,avg_volatility_10,avg_volatility_30,avg_volatility_60
0,Random & High Volatility & Low Liquidity & High Volume,0.35,0.055707154985247934,2.116461494948748,High,0.00030439375798481193,0.1453335668549179,Random,0.03901654971139272,1.330696869590324,1555.8536151264423,0.48116749481524207,0.3615906115142339,Low,224.96597863083804,1.5329909628208909,High,0.0003329892632213872,Sideways,0.03924976525439356,Balanced,0.0022189018267677264,0.03901654971139272,599.5762436016697,224.96597863083804,0.03924976525439356,0.022148343584966777,0.06632021714722486,0.1321411573820324
1,Random & Low Volatility & High Liquidity & Low Volume,0.093,0.01266477970550008,0.48116832740421744,Low,0.00017019597046427222,0.12770300102287485,Random,0.023994828130529895,0.8183666396911196,4101.345902831102,1.2683933207145712,1.5499083897081967,High,105.43991028677904,0.7185016622247635,Low,0.00017825307241894038,Sideways,-0.0015562072918272442,Balanced,0.0004971364298763264,0.023994828130529895,1581.0986298865755,105.43991028677904,-0.0015562072918272442,0.0048954997734506015,0.015427961455653769,0.029838521163019622
2,Random & Low Volatility & High Liquidity & Low Volume,0.537,0.010101652969792024,0.38378839399644726,Low,-1.980254986758257e-09,0.008717038973154598,Random,0.024098818515956966,0.8219133315790208,4140.000200494558,1.28034765330071,1.5577647960046677,High,104.4710811812195,0.7118997472490872,Low,-3.843922912813657e-06,Sideways,-0.01735472229043797,Balanced,0.0004002773850914188,0.024098818515956966,1603.6760371873177,104.4710811812195,-0.01735472229043797,0.004016085638141198,0.011988227396283076,0.024002021459652398
