regime,name,size,volatility,volatility_ratio,volatility_type,returns,price_behavior,volume,volume_ratio,volume_type,direction,direction_type,avg_volume,avg_volatility_5,avg_rel_volatility_5,avg_volume_ma_5,avg_rel_volume_5,avg_volume_vol_5,avg_volatility_15,avg_rel_volatility_15,avg_volume_ma_15,avg_rel_volume_15,avg_volume_vol_15,avg_volatility_30,avg_rel_volatility_30,avg_volume_ma_30,avg_rel_volume_30,avg_volume_vol_30
0,Unknown & Medium Volatility,0.04336513443191674,3333.3338272658693,1.0000000937362188,Medium,-5.094303114473191e-06,Unknown,0.7000072038893045,1.000008954121301,Medium,-5.094303114473191e-06,Sideways,0.9999896176109369,-5.573483113673428e-06,9999.999991222772,1.0000467154963741,1.0000426068204653,-2.3206330371432117e-05,2.934551710561819e-06,10000.00000490959,0.9999895210719001,1.0000098588499249,6.903567811692489e-06,1.2243495098945224e-05,10000.000039655897,1.000012401084581,1.0000186203661146,-2.0999644693774616e-05
1,Unknown & Medium Volatility,0.04856895056374675,3333.3358704978327,1.0000007067057743,Medium,6.850844660581804e-06,Unknown,0.700005392315753,1.0000063661625451,Medium,6.850844660581804e-06,Sideways,1.0000082413711817,-3.5422509220344615e-06,9999.99997500934,0.9999960482322858,1.0000117959875003,-8.138712406407575e-06,2.290055316814083e-06,10000.000004411526,0.9999954697910879,1.0000035386475539,3.0472720711334526e-06,1.3807646441335222e-05,9999.999985361323,1.0000185986105288,1.000020647944309,4.6740134178805944e-06
2,Unknown & Medium Volatility,0.41283607979184733,3333.3333293511596,0.9999999443618139,Medium,-5.3752556879071205e-06,Unknown,0.6999985843211987,0.9999966404690436,Medium,-5.3752556879071205e-06,Sideways,0.9999878360383179,-4.134627056342521e-06,9999.999997098561,0.9999839347922383,0.9999861858846578,9.858557983355133e-06,-1.1206519341610944e-05,9999.999988123085,0.9999961927405515,1.0000051467186375,9.997753768992259e-06,-1.575986247636909e-05,10000.000010039797,1.0000007971934064,1.0000008052443072,5.088288118341581e-06
3,Unknown & Medium Volatility,0.053772766695576756,3333.3340119730256,1.0000001491483625,Medium,1.5313399804969266e-05,Unknown,0.7000012736631364,1.0000004823809603,Medium,1.5313399804969266e-05,Sideways,1.0000109571804388,-1.3699521690542879e-05,10000.000001887647,1.000009016459196,0.9999991097911319,-8.273647126297865e-08,-7.350727374634191e-06,9999.999989255366,1.0000020879105957,0.9999913953917086,-2.0884571988965285e-05,-1.7542152179806773e-05,10000.000026174355,1.0000206770249178,1.0000109966759854,-1.0536494150033076e-05
4,Unknown & Medium Volatility,0.4414570685169124,3333.33333782582,0.9999999469042119,Medium,4.826881752344579e-06,Unknown,0.7000019880849709,1.0000015029822165,Medium,4.826881752344579e-06,Sideways,1.000009355071165,-5.725327216886809e-06,10000.000004934664,1.0000151244697404,1.000009100010391,-3.385190390421676e-06,1.8952544256089098e-05,10000.000008739025,1.0000032936006107,0.9999969374211688,4.4731833846969816e-06,1.9944817359325446e-05,9999.999993586662,0.9999981722962299,0.9999964532592418,-9.643271831930443e-06
