model,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,has_noise
hdbscan_10,2,0.5121906689621806,0.9177014869183593,1120.789073376494,False
hdbscan_15,2,0.5121906689621806,0.9177014869183593,1120.789073376494,False
kmeans_3,3,0.4978211829981435,1.1357355074748388,852.766337175586,False
gmm_3_full,3,0.497040498017083,1.1402311352289092,850.9036311109522,False
gmm_3_diag,3,0.497040498017083,1.1402311352289092,850.9036311109522,False
hdbscan_5,4,0.2886841939428083,2.228271565527232,430.739273390411,False
kmeans_5,5,0.2849740839598015,1.360698535562808,595.3536124420266,False
gmm_5_full,5,0.2825202262491046,1.3675136228296942,587.9279639325106,False
gmm_5_diag,5,0.280578970942426,1.3845398425958613,583.0932693085801,False
kmeans_7,7,0.24922504049982783,1.6605799870877047,442.29942628506626,False
