regime,name,size,volatility,volatility_ratio,volatility_type,returns,autocorrelation,price_behavior,spread,spread_ratio,depth,depth_ratio,liquidity_score,liquidity,volume,volume_ratio,volume_type,direction,direction_type,imbalance,imbalance_type,avg_volatility,avg_spread,avg_depth,avg_volume,avg_volume_imbalance,avg_volatility_10,avg_volatility_30,avg_volatility_60
0,Random & High Volatility & Low Liquidity & High Volume & Sell Heavy,0.15,0.06264068430221535,2.3798845296979803,High,-0.0007485360472213039,0.07990143579559349,Random,0.03909604279131455,1.3334080573654745,1537.397697427863,0.4754597678175322,0.35657484233066483,Low,223.95731747854856,1.5261176193917245,High,-0.0006869486004642286,Sideways,-0.33257685536737636,Sell Heavy,0.0024972469662019247,0.03909604279131455,595.697527379401,223.95731747854856,-0.33257685536737636,0.024867872825002312,0.07487687932321305,0.14832073809444413
1,Random & Low Volatility & High Liquidity & Low Volume,0.65,0.010497520026427114,0.3988284257968279,Low,1.2830551168071513e-05,0.012680209276083765,Random,0.024099379217287838,0.8219324548359793,4136.843323364103,1.279371348945639,1.5565407369160813,High,104.63325706244352,0.7130048661733663,Low,4.325709477784304e-06,Sideways,-0.012061381567838802,Balanced,0.0004152598597431069,0.024099379217287838,1600.3593113854809,104.63325706244352,-0.012061381567838802,0.004158139777254481,0.012530130828629351,0.024886549640081516
2,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.2,0.05050700799752236,1.9188942188868234,High,0.0010940911118893987,-0.11451931325211441,Random,0.03895692990145134,1.328663478758961,1569.6955534003766,0.4854482900635244,0.3653658716629719,Low,225.72247449505517,1.538145970392766,High,0.0010979426609855991,Upward,0.318119730720721,Buy Heavy,0.002010142972192078,0.03895692990145134,602.4852807683714,225.72247449505517,0.318119730720721,0.02010869665494013,0.059902720515233716,0.12000647184772355
