regime,name,size,volatility,volatility_ratio,volatility_type,returns,autocorrelation,price_behavior,spread,spread_ratio,depth,depth_ratio,liquidity_score,liquidity,volume,volume_ratio,volume_type,direction,direction_type,imbalance,imbalance_type,avg_volatility,avg_spread,avg_depth,avg_volume,avg_volume_imbalance,avg_volatility_10,avg_volatility_30,avg_volatility_60
0,Random & High Volatility & Low Liquidity & High Volume & Sell Heavy,0.149,0.06264573949902724,2.380076589935208,High,-0.0007718490631800466,0.09064012625681434,Random,0.039077237685740375,1.332766691193812,1536.8923145685799,0.4753034717483136,0.3566291646458882,Low,224.31449786701978,1.5285515621192236,High,-0.0006964635944320355,Sideways,-0.3340599943937662,Sell Heavy,0.002493883815223712,0.039077237685740375,595.4827206618934,224.31449786701978,-0.3340599943937662,0.024842995412830634,0.07499565290044034,0.14825042586761425
1,Random & Low Volatility & High Liquidity & Low Volume,0.65,0.010497520026427114,0.3988284257968279,Low,1.2830551168071513e-05,0.012680209276083765,Random,0.024099379217287838,0.8219324548359793,4136.843323364103,1.279371348945639,1.5565407369160813,High,104.63325706244352,0.7130048661733663,Low,4.325709477784304e-06,Sideways,-0.012061381567838802,Balanced,0.0004152598597431069,0.024099379217287838,1600.3593113854809,104.63325706244352,-0.012061381567838802,0.004158139777254481,0.012530130828629351,0.024886549640081516
2,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.201,0.050563627161600594,1.9210453300085366,High,0.0011022056005398565,-0.1105248643655121,Random,0.038971562108518085,1.3291625242225642,1569.909504594708,0.48551445718823866,0.3652784729784789,Low,225.44891710749934,1.5362818618484952,High,0.0010961160084470589,Upward,0.31598187564034286,Buy Heavy,0.002015059457215777,0.038971562108518085,602.6107456814044,225.44891710749934,0.31598187564034286,0.0201508156130677,0.0598891727331497,0.12019946084296919
