regime,name,size,volatility,volatility_ratio,volatility_type,returns,autocorrelation,price_behavior,spread,spread_ratio,depth,depth_ratio,liquidity_score,liquidity,volume,volume_ratio,volume_type,direction,direction_type,imbalance,imbalance_type,avg_volatility,avg_spread,avg_depth,avg_volume,avg_volume_imbalance,avg_volatility_10,avg_volatility_30,avg_volatility_60
0,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.092,0.05059766324176371,1.9223384503110057,High,0.001125616778377747,-0.13593253522402016,Random,0.03890560024335001,1.3269128315116308,1568.4562104389902,0.48506500750908,0.36555906009024697,Low,223.6588971369334,1.5240840866344507,High,0.0011341542692987917,Upward,0.31528158395557343,Buy Heavy,0.002013702733679009,0.03890560024335001,599.7360216095831,223.6588971369334,0.31528158395557343,0.020364574633338007,0.059389541808421174,0.12062283379161665
1,Random & Low Volatility & High Liquidity & Low Volume,0.55,0.010105603473162039,0.38393848402115804,Low,-1.5085766216548937e-05,0.004561699619530865,Random,0.02409564972995313,0.821805257091479,4140.24470493725,1.2804232694056041,1.558061667720719,High,104.46633628223763,0.7118674139722825,Low,-2.7115835929939514e-05,Sideways,-0.014948701929376985,Balanced,0.00040035491768374427,0.02409564972995313,1603.0339227341738,104.46633628223763,-0.014948701929376985,0.004020662329083296,0.012006591283586611,0.023994805362294497
2,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.108,0.0504297831598353,1.9159602439699277,High,0.0010672359145104352,-0.08915853172545751,Random,0.03900065516575987,1.3301547708585386,1570.7512899971132,0.4857747900173104,0.3652017048390321,Low,227.48033668901073,1.550124612112812,High,0.0010670957353854718,Upward,0.3205374112984393,Buy Heavy,0.002007110582777285,0.03900065516575987,604.8272422740057,227.48033668901073,0.3205374112984393,0.01989072652519378,0.060339872746962904,0.11948142278440722
3,Random & High Volatility & Low Liquidity & High Volume & Sell Heavy,0.15,0.06264068430221535,2.3798845296979803,High,-0.0007485360472213039,0.07990143579559349,Random,0.03909604279131455,1.3334080573654745,1537.397697427863,0.4754597678175322,0.35657484233066483,Low,223.95731747854856,1.5261176193917245,High,-0.0006869486004642286,Sideways,-0.33257685536737636,Sell Heavy,0.0024972469662019247,0.03909604279131455,595.697527379401,223.95731747854856,-0.33257685536737636,0.024867872825002312,0.07487687932321305,0.14832073809444413
4,Random & Low Volatility & High Liquidity & Low Volume,0.1,0.012653061069385038,0.48072310556301284,Low,0.00016637029678348396,-0.027053009522008713,Random,0.024119891397628764,0.8226320424307321,4118.135724711788,1.27358578641583,1.5481840248437313,High,105.55132135357587,0.7192608532793275,Low,0.0001772542092202653,Sideways,0.003818880420621203,Balanced,0.0004972370410696018,0.024119891397628764,1585.6489489676705,105.55132135357587,0.003818880420621203,0.004914265742196001,0.015409598326364418,0.02979114316791013
