regime,name,size,volatility,volatility_ratio,volatility_type,returns,autocorrelation,price_behavior,spread,spread_ratio,depth,depth_ratio,liquidity_score,liquidity,volume,volume_ratio,volume_type,direction,direction_type,imbalance,imbalance_type,avg_volatility,avg_spread,avg_depth,avg_volume,avg_volume_imbalance,avg_volatility_10,avg_volatility_30,avg_volatility_60
0,Random & High Volatility & Low Liquidity & High Volume & Sell Heavy,0.049,0.061878974086695404,2.3509451530257377,High,0.00014936730047576693,0.13591371072276176,Random,0.039656684363620034,1.352529276200754,1540.7017939307534,0.47648160163368747,0.3522893071654029,Low,219.7203258468157,1.4972453875968328,High,-0.0005424375368793747,Sideways,-0.3253760382157553,Sell Heavy,0.002491247040557974,0.039656684363620034,603.4445014118287,219.7203258468157,-0.3253760382157553,0.02517109088902602,0.07466017400519674,0.1451933844120009
1,Random & Low Volatility & High Liquidity & Low Volume,0.549,0.010106026549998039,0.3839545578241199,Low,-1.5207431102992223e-05,0.006915828982770961,Random,0.024093289587541665,0.8217247621696586,4141.028604137167,1.2806657001912158,1.5585093198479045,High,104.46332869585626,0.7118469193056195,Low,-2.69139046286618e-05,Sideways,-0.015232279783342604,Balanced,0.00040036854875859717,0.024093289587541665,1603.0580449806002,104.46332869585626,-0.015232279783342604,0.004019290184229103,0.012006271576530132,0.023998175890474323
2,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.083,0.0507600534291116,1.9285080811020656,High,0.0009111843354168724,-0.10839540234499923,Random,0.03913053500150659,1.3345844472940382,1538.3263398852175,0.47574696229421054,0.3564757279007861,Low,226.84881850984758,1.545821242921585,High,0.0009856301395003676,Sideways,0.3306490758783529,Buy Heavy,0.002005965945619984,0.03913053500150659,598.3377871774843,226.84881850984758,0.3306490758783529,0.01968681263140558,0.060886068719862886,0.12046136641955796
3,Random & High Volatility & Low Liquidity & High Volume & Sell Heavy,0.083,0.06301198621105839,2.3939912668536536,High,-0.0014594492792757033,0.017231415657990367,Random,0.038910917306180355,1.327094175041904,1547.580737091981,0.4786090021909663,0.36064433948393587,Low,227.24842198291552,1.5485442702728904,High,-0.001018550950099839,Downward,-0.36847280603737215,Sell Heavy,0.00249792908917128,0.038910917306180355,594.9635371245511,227.24842198291552,-0.36847280603737215,0.024665586112888587,0.07502259867627165,0.149861830965902
4,Random & Low Volatility & High Liquidity & Low Volume,0.101,0.012625539022066352,0.47967747051976606,Low,0.00016523502905731893,-0.02786179526097028,Random,0.024132480274026966,0.823061398141031,4114.093628864966,1.2723357169276026,1.5458575992037826,High,105.55692709468516,0.7192990526129013,Low,0.00017413311684846657,Sideways,0.005174490910493742,Balanced,0.0004962037184608879,0.024132480274026966,1585.689957487258,105.55692709468516,0.005174490910493742,0.004912876673996388,0.015377643000931055,0.029715432694877076
5,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.063,0.049380225224641756,1.8760847745236189,High,0.0017680537353164496,0.10558946844537392,Random,0.03821066395261324,1.303211362430214,1607.1622731715993,0.49703534910043695,0.3813927375322841,Low,225.72602047423257,1.53817013384213,High,0.001375465540692736,Upward,0.31333566979131716,Buy Heavy,0.002016924520831862,0.03821066395261324,605.8517334218836,225.72602047423257,0.31333566979131716,0.020579962960099122,0.05793199556018998,0.11699201785744606
6,Random & High Volatility & Low Liquidity & High Volume & Buy Heavy,0.072,0.054325014379196714,2.0639503341456664,High,0.0004630197581488643,0.11403861849133845,Random,0.03927642353635303,1.3395601157748571,1551.0120387879117,0.4796701758289837,0.3580803654724541,Low,223.06925421560223,1.5200660689982137,High,0.0008222747173706759,Sideways,0.18166758497160243,Buy Heavy,0.002134097245573353,0.03927642353635303,598.1977162327389,223.06925421560223,0.18166758497160243,0.021399306096019945,0.06421656057087397,0.1295500936043196
